,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-01
1,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-02
2,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-01-03
3,3.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-01-04
4,1.0,8.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2015-01-05
5,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2015-01-06
6,3.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-07
7,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-01-08
8,3.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-01-09
9,4.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2015-01-10
